id,programID,offset,type,duration,state
4528473378,program_01,0,static,42,GGGGGGrrr
4528473378,program_01,0,static,3,yyyyyyrrr
4528473378,program_01,0,static,42,rrrrrrGGG
4528473378,program_01,0,static,3,rrrrrryyy
gneJ0,program_01,0,static,82,rrr
6900059023,program_01,0,static,82,rrrr
6902109292,program_01,0,static,82,GG
6902109292,program_01,0,static,5,yy
6902109292,program_01,0,static,6,rr
4528473378,program_02,0,static,82,rrrrrrrrr
gneJ0,program_02,0,static,82,rrr
6900059023,program_02,0,static,82,GGGG
6900059023,program_02,0,static,3,yyyy
6900059023,program_02,0,static,5,rrrr
6902109292,program_02,0,static,80,GG
6902109292,program_02,0,static,5,yy
6902109292,program_02,0,static,6,rr
4528473378,program_03,0,static,82,rrrrrrrrr
6900059023,program_03,0,static,82,rrrr
gneJ0,program_03,0,static,82,GGG
gneJ0,program_03,0,static,3,yyy
gneJ0,program_03,0,static,5,rrr
6902109292,program_03,0,static,80,GG
6902109292,program_03,0,static,5,yy
6902109292,program_03,0,static,5,rr
