version,time,type,id,state,edges,number,begin,end,depart,time2,id3,id4,type5,depart6,route,distance,speedFactor,state7,pos,speed,posLat,waitingTime,id8,value
1.8.0,100,micro,!100,0,gneE0 15491646#1 15491646#2 15491646#3 15491646#4 15491646#5 655281697#0,54,198,32,241,1017,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!101,0,gneE0 15491646#1 15491646#2 15491646#3 15491646#4 15491646#5 15491646#6 15491646#7 15491646#0 -gneE0,54,198,32,241,1017,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!102,0,15491650#1 15491646#2 15491646#3 15491646#4 15491646#5 15491646#6 15491646#7 15491646#0 -gneE0,54,198,32,241,1017,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!103,0,15491650#1 15491646#2 15491646#3 15491646#4 15491646#5 15491646#6 15491646#7 15491646#0 -gneE0,54,198,32,241,1017,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!104,0,15491650#1 15491646#2 15491646#3 15491646#4 15491646#5 655281697#0,54,198,32,241,1017,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!105,0,15491646#5 15491646#6 15491646#7 15491646#0 15491646#1 15491646#2 33851402#0,54,198,32,241,1017,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!106,0,15491650#1 15491646#2 15491646#3 15491646#4 15491646#5,54,198,32,241,1017,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!107,0,gneE0 15491646#1 15491646#2 15491646#3 15491646#4 15491646#5 655281697#0,54,198,32,241,1017,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!108,0,24448678#1 15491646#7 15491646#0 15491646#1 15491646#2 33851402#0,54,198,32,241,1017,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!109,0,-33851402#0 15491646#3,54,198,32,241,1017,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!11,0,15491650#1 15491646#2 15491646#3 15491646#4 15491646#5 15491646#6 15491646#7 15491646#0 -gneE0,54,198,32,241,1017,DEFAULT_VEHTYPE,,,,,,,,,,,,,
